// Output Data File:
//
// FILENAME 2BusTestCase.out
//
// CASE FILENAME :
2BusTestCase.dat

//  iNodeNumber	  iBranchNumber	     iGenNumber	     iLSENumber
              2	              1	              2	              1
// iMaxDay
       3
#GeneratorSupplyOfferDataStart
//  Day	GenCo Name	     aR ($/MWh)	    bR ($/MW2h)	     CapRL (MW)	     CapRU (MW)
    7	    9	 12.70	 12.70
    7	   10	 12.70	 12.70
    7	   11	 12.70	 12.70
    7	   12	 12.70	 12.70
    8	    1	 12.70	 12.70
    8	    2	 12.70	 12.70
    8	    3	 12.70	 12.70
    8	    4	 12.70	 12.70
    8	    5	 12.70	 12.70
    8	    6	 12.70	 12.70
    8	    7	 12.70	 12.70
    8	    8	 12.70	 12.70
    8	    9	 12.70	 12.70
    8	   10	 12.70	 12.70
    8	   11	 12.70	 12.70
    8	   12	 12.70	 12.70
    9	    1	 12.70	 12.70
    9	    2	 12.70	 12.70
    9	    3	 12.70	 12.70
    9	    4	 12.70	 12.70
    9	    5	 12.70	 12.70
    9	    6	 12.70	 12.70
    9	    7	 12.70	 12.70
    9	    8	 12.70	 12.70
    9	    9	 12.70	 12.70
    9	   10	 12.70	 12.70
    9	   11	 12.70	 12.70
